n;type;block_size;elapsed_time
1048576;naive;8;0.145504
1048576;naive;16;0.028960
1048576;naive;32;0.065792
1048576;naive;64;0.008288
4194304;naive;8;0.066144
4194304;naive;16;0.091136
4194304;naive;32;0.205504
4194304;naive;64;0.008096
16777216;naive;8;0.232736
16777216;naive;16;0.319328
16777216;naive;32;0.753120
16777216;naive;64;0.008384
67108864;naive;8;0.935680
67108864;naive;16;1.259520
67108864;naive;32;2.933568
67108864;naive;64;0.009696
268435456;naive;8;6.162368
268435456;naive;16;5.703328
268435456;naive;32;11.712384
268435456;naive;64;0.008288
1073741824;naive;8;24.945248
1073741824;naive;16;25.637217
1073741824;naive;32;34.157600
1073741824;naive;64;0.007680
512;shared;8;0.041216
512;shared;16;0.022432
512;shared;32;0.029984
512;shared;64;1.056544
1024;shared;8;0.106624
1024;shared;16;0.061440
1024;shared;32;0.084384
1024;shared;64;1.055904
2048;shared;8;0.346112
2048;shared;16;0.193664
2048;shared;32;0.286976
2048;shared;64;0.008800
4096;shared;8;1.398368
4096;shared;16;0.791360
4096;shared;32;1.147264
4096;shared;64;0.007552
8192;shared;8;7.988288
8192;shared;16;4.048480
8192;shared;32;6.633312
8192;shared;64;0.008544
16384;shared;8;40.032097
16384;shared;16;19.809183
16384;shared;32;32.687073
16384;shared;64;0.008160